,Tweet Id,Datetime,Username,Tweet Content,User Location,User Verified,Retweet Count,Reply Count,Like Count
0,1498082036367912961,2022-02-27 23:46:05+00:00,Putera_Ns,Rolls Royce of defense. Simply awesome https://t.co/elf1QEQbOv,,False,0,1,1
1,1498057990557024261,2022-02-27 22:10:32+00:00,pleasehesitate1,@AzizkhanISF 🤦🤦 be like a defense minister.,,False,0,1,0
2,1498026236177641473,2022-02-27 20:04:21+00:00,fincase_in,"You need someone who tells you that -
'You don't need to buy a fancy smartphone when your pocket doesn't allow you to.'
Don't worry, We'll tell you.
Do know- Buying things above and over your budget can be quite damaging in long run. 

#personalfinance #finance #budgeting #follow",India,False,0,0,0
3,1498019574419132416,2022-02-27 19:37:53+00:00,colour135,"The extent to which small countries are vulnerable to strong neighbors is evident in today's Ukraine.Such aggression is reprehensible.
So now is time for Bangladesh to increase,develop &amp;modernize defense forces to protect the country sovereignty &amp; people’s from external enemies.","Abu Dhabi, United Arab Emirate",False,0,0,0
4,1498017907674329089,2022-02-27 19:31:15+00:00,NasrinRasheda,"Russian President #Putin orders his defense chiefs to put the country’s nuclear “deterrence forces” on high alert and accused the #West of taking “unfriendly” steps against his country.

#RussiaUkraineConflict #EU
#UkraineWar #Ukraine #nuclear https://t.co/v9irHlGCbs",,False,2,1,3
5,1498007998916141063,2022-02-27 18:51:53+00:00,AbdulSakamHashm,"@tinyathenaeum @thehill If countries with strong economies like Germany, France &amp; Italy can't afford to spend 4% of NATO defence expenditures, they have no right to ask America for their defense.",Lahore,False,0,0,0
6,1498005481067261952,2022-02-27 18:41:52+00:00,jtasakorn,"@phildstewart All that remains is to make known an asset needing defense in the Ukraine. Uh, ...any embassy is effectively the territory of that nation, and any personnel ..., so, worthy of defending, then.","Bangkok, Thailand",False,0,0,0
7,1497996516920680450,2022-02-27 18:06:15+00:00,TusharVijh,"BREAKING:  #RUSSIA's #Putin putting nuclear forces on high alert - ""We have no reason to doubt the validity of these reports"" per sr US defense official 

""We believe this is not only an unnecessary step to take but an escalatory one...could make thing much much more dangerous""","New Delhi , India",False,0,0,0
8,1497987433530462209,2022-02-27 17:30:10+00:00,MihirUj,"Over $100B loss has already is in the balance sheet of Russia. It is the just military expense. 

Russia’s economy and GDP will contract like a rubber-band. 

#Putin is not just harming Ukraine but Russia itself. 
#GloryToUkraine",At your device's screen.,False,0,1,0
9,1497984405805367296,2022-02-27 17:18:08+00:00,ammarmh_,Che byk ready counter attack. Lvpool high defense. Game 50-50.,,False,0,0,0
